[INFO] 2021-03-19 00:59:57,708 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:00:03,309 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:02:18,315 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:02:23,971 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:04:15,434 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:04:22,090 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:04:25,099 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:28:34,730 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:28:41,230 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:28:44,356 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:32:03,858 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:32:11,913 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:32:15,138 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:35:22,872 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:35:28,708 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:35:31,837 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:48:36,988 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:48:42,172 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:48:45,404 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:48:54,182 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 01:51:49,618 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:51:53,597 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:51:56,877 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:52:03,953 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 01:54:15,241 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:54:21,449 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:54:24,724 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:54:34,671 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 01:56:01,568 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:56:06,986 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:56:10,326 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:56:19,632 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 01:59:39,091 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 01:59:42,204 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 01:59:45,589 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 01:59:52,606 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 02:05:34,139 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 02:05:41,188 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 02:05:44,566 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 02:05:50,784 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 02:16:20,572 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 02:16:24,446 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 02:16:27,822 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
